CleanedDescription	MainIndustry
j product solution prototype plus fast growing consumer electronics product prototyping company place highest value excellence customer service quality speed working relationshipswe help product developer designer turn idea 3d form touched held manipulated prototype near representation real thing whether manufacturing engineer industrial designer help bring idea near lifecall u arrange visit production facility meet people make solution happen youthe company started art villa focus producing urethane casting prototype us since evolved onestop service center help product developer designer tell story pitch idea confirm manufacturing activity make real partsaj helped company large small startup design studio major corporation develop product line build business	2
mission operate premier professional audio video technology store dedicated providing highest quality customer service superior technology solution vision single technology source professional audio video engineer designer technician integrator consultant entrepreneur extensive working knowledge audio video industry talented team 3dhd gear year combined experience broadcast television worked stage studio audio design av presentation engineering layout installation equipment operation prepost production handson technical knowledge come directly involvement creating thousand hour television programming	1
paw grooming located macroom ireland company working pet animal business activity	1
2co first cc company backed private equity finance investment business model people whose knowledge resource created exceptional capability 2co turn co threat environment valuable resource reversing effect take captured co2 revitalise exis	3
c e engineering insurance located birmingham united kingdom company working others financial activity business activity	0
4t consultant pty ltd environmental consultancy based emerald queensland environmental consulting commitment assist stakeholder use natural resource sustainably possible provide environmental monitoring service help client obtain production little effect environment	3
1st national pawn pawn way serving north carolina triad since gold buyer pro specialize jewelry especially buying gold type general electronics goal give best value whether sale loan customer	1
star cleaner located london united kingdom company working others dry cleaner business activity	8
home loan inc financial service company located e cesar e chavez ave los angeles california united state	0
acdc power supply adapter electronic device adapter high quality regulated power supply stable enough sensitive electronics ideal lcd screen digital medium audio video application scanner hard drive device requires high quality stable dc power day shipping order pm eastern time order ship day stand behind product one year warranty unit	1
auto supply automotive company located 28th st springfield oregon united state	6
front network located newbury united kingdom company working computer software solution computer service business activity	5
team architect designer practicing architecture urbanism team collaborator context new paradigm professional practice pronounced oneoneten attempt address emerging challenge time urban place regional landscape community unified philosophy approach explore new theme architectural theory research form collaboration armature built unbuilt work emerging force architecture canada work founded belief architecture profound powerful role shaping experience world growing collective work pursues opportunity collaborate expert relevant discipline enable architecture enrich reinterpret contribute transformative cultural exchange realize potential unique project project attempt situate new experience within urban rural	9
retail store selling kitchenware homeware hardware stationery souvenires general merchandise	1
flooring construction company located holton ave fort wayne united state	9
quality business system electrical electronic manufacturing company based delsea dr franklinville new jersey united state	2
place ponder higher education company based 2nd st hamilton montana united state	4
support basis used external expert value option stock transaction asset sale disposal entity carve out let team quickly evaluate financial positioning develop plan action	0
service home contractorsinteriorlandscaping fencingconstructionexteriorgeneral	9
chau located girrawheen australia company working food retailer butcher business activity	7
360see exhibit fine art functional art furniture design object driven sustainable minded medium choice philosophy result gallery s curatorial process evident rotating exhibition represented artist designer showing work share modern aesthetic sustainable minded conceptual medium element 360see position intersection strong challenging well executed fine functional art sustainable minded medium choice philosophy defining premier gallery kind	4
k located aleppo syria company working mobile phone shop mobile phone business activity	2
hotfrog u provides information regarding 2nd insight inc alameda ca 2nd insight inc located island dr ste alameda ca provides lawyer service contact visiting website http 2ndinsightcom	8
carbon asset co ltd ukregistered firm specializing development highquality emission reduction project sale cer vers vcssa committed serving client utmost integrity transparency maintains close relationship regulatory agency project stakeholder throughout project development process team highly trained professional provides advice guidance project creation production pertinent documentation efficient realization final delivery greenhouse gas emission reduction	3
fine art gallery painting sculpture fine gemstone jewelry lapidary work oil acrylic watercolor sumie	4
child day education management company located po box uvalde texas united state	4
prompt computer computer network security company located highway 1d belle chasse louisiana united state	2
graphic design website design logo design corporate identity packaging design brochure design exhibition graphic design simon bruce martin barlow lisburn northern ireland	8
maintenance amp repair construction company located knoxville tennessee united state	9
general info dependable home heating oil available	3
kid place drop child higher education company based route cranberry twp pennsylvania united state	4
3cl worldwide industrial refrigeration air conditioning design build engineer consultant installation service maintenance contractor	9
engineering service aeronautical engineering electrical power transmission engineering professional engineering service mechanical engineering electrical electronic engineering chemical engineering oil gas engineering mining engineering ocean engineering transportation engineering	5
2nd look construction company located 2nd st atwood kansa united state	9
general info c jones high school offer range educational program student grade academic curriculum includes study english mathematics science history social study school also offer class fine art foreign language health physical education additionally offer gifted talented program includes advanced placement independent study mentorship c jones high school athletics department offer various sport activity football basketball cross country soccer softball baseball wrestling library feature collection reference material directory book catalog addition school parentteacher association c jones high school located beeville texas part beeville independent school district	4
garage located phnom penh cambodia company working vehicle service business activity visit company website information u http wwwiknowcomkh919garage question please contact u	6
located warszawa poland company working training business activity question please contact u	4
plumbing education management company located po box altus arkansas united state	4
europages european b2b platform language million registered company mainly manufacturer service provider wholesaler distributor every month million unique visitor world use platform search product service supplier	8
12d solution pty ltd australian software developer specialising civil engineering surveying application established 12d solution sell support principal product suite 12d model direct distributor around world 12d solution client include civil water engineering consultant environment	5
3kv specialised distributor since foundation wehave become leading specialised distributor wireless andwired infrastructure security solution make networksfaster intelligent secure subsidiary ofhpi ag hoechst procurement international stock exchange codecew3 frankfurt stock exchange leading stock exchange listedindustrial service provider strategic procurement managementsince tnd ag specialised distributor server andstorage also belongs hpi group perfectlycomplementary portfolio offer comprehensiveinfrastructure solution see http www3kvdeencompanyhtml sthashrvddadg8dpuf	5
teacher touch education management company located catherine way escalon california united state	4
studio located sandy lane farm cv32 6rw royal leamington spa united kingdom company working advertising graphic design web design graphic design business activity	8
4ever young located sheraton mall barbados company working clothing accessory business activity	1
plus math tutoring education management company located hollywood florida united state	4
child place child care ctr education management company located noble st smithfield north carolina united state	4
auto recycling automotive company located narrow rd painesville ohio united state	6
scuba diving course r1790 save r600 scuba diving course includes course material use scuba gear incl wetsuits etc scuba diving lesson whole family well scuba diving equipment scuba diving trip scuba club	4
3p enterprise ltd distributor premium branded high quality pet accessory sourced around world establisted business focus sourcing supplying functional practical stylish branded accessory uk trade market company specialises supplying innovative cat dog product many u	1
j enterprise located kingston jamaica company working automotive car part accessory vehicle service business activity	6
driving advantage education management company located main st dallas georgia united state	4
2morrow s mission help million improve life use evidencebased behavioral change program creating distributing leadingedge program based work respected researcher thought leader 2morrow delivers program directly hand people whenever wherever need via smartphone program supplement effort coach counselor health care professional providing support visit used alone people might otherwise access behavioral focused help 2morrow also provides proprietary backend system offer corporate organizational coaching account distribution management well access data used improve program monitor engagement level research smartquit 2morrow collaborated internationally renowned cancer research institute address nicotine addiction mobile smoking	5
h electrical service based north west operate area united kingdom carry aspect electrical work design installation commercial industrial large domestic project currently completing project matalan newbury high wycombe process introducing energy saving system help reduce carbon footprint client work american embassy londoncity syncclement dickenssainsburystescogalliford trychubb fire securityprotec fire systemsnational tyresspeedy hireenterprise car hirewalkibooths supermarketsassociated british port	9
crowd monster award winning video game development studio headquartered barcelona spain focus create high quality video game help client expand brand wide range platform perform assembling team top industry talent artist designer writer harness full entertainment potential property work withwe deliver time highest standard quality using agile development method practice including continuous integration weekly status meeting optimal communication	5
whol ret computer electronic equipment	2
general info better way wholesale auto family owned operated dealership located naugatuck ct since provided top quality preowned vehicle wholesale price superior customer service stock hand picked car truck suv s whatever re looking re sure best price around s sell car per year nt know another independent dealer say	6
company fastest growing epc business enterprise transmission distribution sectorthe group focus business areas1 power sectorepc part transmission distribution2 facility management servicesservices operation maintenance existing infrstructure3 solid waste management4 cogeneration power project	3
p uk ltd located unit riverside indust est river way se10 0bh united kingdom company working computer software solution computer service business activity	5
full service independent insurance agency business insurance including general liability property bond commercial auto commercial personal umbrella personal homeowner insurance personal auto insurancewe multiple carrier meet insurance need	0
24hourtek inc provides support business san francisco bay area offer flat fee support plan cover server workstation mobile phone everything please contact u anytime information	8
10clouds amazing place lot great innovative development achieved diverse rich portfolio project sport community elite athlete tool helping teacher create assignment revolutionary way mobile application used ass hazardous work task australian desert	5
g custom consumer electronics company based jewel cave rd se albuquerque new mexico united state	2
service chain link chain link fencing commercial estimate fence fence fencing free estimate guard rail industrial residential residential building residential service temporary fence	0
trading located singapore singapore company working food retailer food product business activity	7
act auxilliary financial intermediation	0
season located latakia syria company working clothing accessory business activity	1
k computer located leopold st iv12 4be nairn nairnshire united kingdom company working computer software solution computer service business activity	2
liquor store food beverage company located e 88th ave abc denver co united state	7
general info pay high price new auto part find everything need auto salvage car stock foreign domestic looking get rid old junker also buy car truck matter condition carry part vehicle get new inventory added daily call u today find looking	6
3d printing model buy sell 3d printing model design plan print build using 3d printer	5
hotfrog u provides information regarding county pasadena md county located pasadena pasadena md provides furniture service contact	4
b c engineering located liverpool united kingdom company working art craft antique business activity	2
star restaurant located ho chi minh city vietnam company working restaurant business activity question please contact u	7
byte advice inc computer software company located po box macon ga united state	5
absolute green energy corporation focused part solution energy independence environmental responsibility provide range service help comercial industrial residential facility reduce energy cost carbon footprint application energy optimizing technology renewable energy system process aimed fast thorough analysis situation cost effective implementation offer site assessment provide renewable energy system option budget provide turnkey project management service large commercial facility licensed electrician plumber offer training equipment let get business quickly competentlyfor anyone interested renewable energy system offer short day seminar aimed educating public technology cost incentive	3
w manufacturing financial service company based wohlert st angola indiana united state	0
financial service institute fsi founded clear mission ensure individual access competent affordable financial advice product service delivered growing network independent financial advisor independent financial service firm	0
degree online marketing digital medium specialist company one leading south african medium placement online marketing agency degree analyse plan implement best medium strategy business due year experience know effective come online marketing expertise passion help u come creative effective online marketing plan medium placement strategy also formed strategic alliance contact within ever changing online arena enables u keep date latest online marketing trend contact also help u provide client best possible online advertising real estate best possible price	8
delicate touch located freeport bahamas company working restaurant business activity	7
stage right productions2nd street theater exists continue cultivate performing art central oregon providing venue resource education central oregon actor playwright director producer stage film pursue creative endeavor stage right production also produce several theatrical event year form play concert movie screening class workshop adult child ticket sale important keeping stage light s enough need support community inkind financial contribution stage right production nonprofit organization c status pending	4
service restaurant	7
e information svc computer software company based oakland california united state	5
touch class detailing banking company located e king ave kingsland georgia united state	0
building svc construction company located 44th st sw c wyoming michigan united state	9
founded 2k develops publishes interactive entertainment globally console system handheld gaming system personal computer including smartphones tablet delivered physical retail digital download online platform cloud streaming service 2k publishes title today s popular gaming genre	1
loan financial service company located de la cruz blvd santa clara california united state	0
crivelli buick inc automotive company located po box reno pennsylvania united state	6
blacktop construction company based melissa terry ln joplin missouri united state	9
diver world computer software company based lone oak ct charlotte north carolina united state	5
refrigeration located kingsgrove australia company working electrical good air conditioning business activity	2
1st line support located bournemouth united kingdom company working computer repair electrical good computer business activity	2
h communication inc computer network security company based soapstone cir raleigh north carolina united state	2
r service located bayamon puerto rico company working electrical good business activity	2
general info landscaping construction design excavating landscaping turn residential commercial property dream estate quality landscaping topnotch excavating	3
12hoist4u specializes staffing recruitment service market hoisting lifting heavy lift specialized transport competent experienced personnel	8
long standing microsoft solution partner 3si established reputation total service extensive product portfolio provides solution aspect client need including web enablement back office system customer relationship management membership event committee cpd product sale much suc	5
signature bail bond financial service company located andrew ave fort lauderdale fl united state	0
ice co logistics supply chain company based spring hill florida united state	8
teksolutions focus client understand importance time strive maintain relationship based accountability description extensive array hardware software based solution vary simple pc troubleshooting includes virus malware detection removal full blown data driven web application ecommerce site goal assist customer use technology building loyal customer following service offering website development management network design implementation maintenance virus detection recovery managed service wait system failure equipment break call technician call put hold given time tech come take look issue managed service know problem problem occurs quickly start working without leaving commission l	5
21st century system located sheffield united kingdom company working computer software solution computer service business activity	5
big date analytics software solution retailer	5
2is inc founded rapidly growing software service engineering company provides affordable supply support innovation department defense dod industrial partner 2is recognized inc magazine four consecutive year one america s fastestgrowing privately held usbased company 2is inc three business line software service part sourcing engineering technical service ets 2is software service develops decision support tool provide independent verification validation supply chain pricing decision using erp legacy data application web based saas tool easy access meet department defense information assurance requirement part sourcing business focus winning successfully delivering awarded repair part contract cooperation integrated manufacturing network ets team work closely defe	5
a1 technology new york headquartered software development firm software developer a1 technology two state art development center owns manages center camera provide visibility client resource assigned client visit center encouraged	5
copper caboose opened door corner 4th street boston avenue lubbock texas founded john frank fitzpatrick frank smith first restaurant lubbock texas serve fajitas serving chicken beef fajitas added many traditional american authentic mexican dish prepared lupe gonzales 50th street caboose opened august corner 50th street slide road designed managing partner phil bradley owner bob jordan twist enhance proven caboose concept midway game redemption center stocked full toy novelty giant stuffed animal help enhance fun atmosphere serving fine mexican dish new twist george amayathe 50th street caboose also party room available conduct meeting throw birthday party team party view sporting event private gettogether friend	7
west located cairo egypt company working clothing accessory business activity	1
better future wholesale company located se division st portland oregon united state	4
better insurance school insurance company located glenridge dr ne atlanta georgia united state	0
restaurant located hong kong hong kong company working restaurant business activity	7
z irrigation food beverage company located n sea mecox rd southampton new york united state	7
p consulting inc computer software company located e waterloo rd akron ohio united state	5
service auto repairsexteriorinteriorgeneral	6
located gananoque island rv centre sell sevices rv s trailer part accessory exceptional professional customer service large selection quality product fair pricing creating incomparable purchase service experience u island rv centre concerned sincerely earning business making customer life provide huge selection fair competitive price experience easy straight forward approach taking risk buying	6
auto part located st joseph trinidad tobago company working vehicle service business activity	6
j blosenski inc environmental service company located po box elverson pennsylvania united state	3
service truck dealersvan dealer	6
auto glass located 34a passagefort dr ptmr jamaica company working car part accessory business activity	6
hotfrog u provides information regarding bakery sun city az bakery located w bell rd provides social food dining bakerie service contact	7
excavating construction company located birch st fall river massachusetts united state	9
cleaner world carpet clean environmental service company located e mountain st kernersville north carolina united state	3
printing located jakarta indonesia company working printing business activity	8
hotfrog u provides information regarding stop auto repair wyoming mi stop auto repair located 28th st sw provides automotive maintenance repair service contact	6
auto glass located aurora co offer top quality material workmanship complete warranty insurance company billing year experience call auto glass auto glass repair auto glass replacement headlight restoration auto home glass scratch removal side mirror replacement rating bbb troubleshooter website year shop aurora bring car mobile work denver metro area would love opportunity make sure windshield replacement done right way	6
b refrigeration company electrical electronic manufacturing company located w warren st dearborn height michigan united state	2
sweet connection design develop display table occasion currently design tasty eye catching display event wedding reception engagement party birthday party prom shower corporate event private party display customized individual preference need popular display candy sweet bar popcorn bar snack bar cereal bar much	7
established fencing company ltd specialise supplying erecting type fencing gate trained fence erectors hold cscs card minimum requirement demonstrating level health safety fencing industry competence carry work number local authority housing association buildingconstruction organisation school also several industrial domestic property around greater london home county south east england	9
c b office service located torquay united kingdom company working financial activity business activity	0
diesel repair accounting company located old ridgeway rd bremen ga united state	8
1st choice builder established year company completed project project include custom home multi family apartment commercial building type home remodeling repair ultimately goal create high quality home commercial building appropriate setting	9
prompt corporation computer software company located grandview cir honey brook pennsylvania united state	5
manchester electrical contractor eca approved electrical contractor electrical installation service inspection testing electrical maintenance emergency lighting system company manchester north west	3
absolution pilate studio financial service company located wolf ln pelham new york united state	0
5th wall design llc offer custom coffered wood ceiling provide beautiful raised panel effect ceiling coffered meaning sunken panel typically seen shape square rectangle ceiling 5th wall design coffered ceiling system includes solid wood grid raised panel l u beam built pr	9
a1 driving school located p box p c al hail north oman company working driving school business activity	4
p c c located harrow united kingdom company working computer software solution computer service business activity	5
founded p system established provider computer technology service reputation built simple philosophy providing personalised service responsive cost effective professional mission apply quality technology backed high degree service support throughout	5
smart start daycare education management company located washington st sterling nebraska united state	4
1nteractivesolutionz social medium digital marketing firm based dallas texas founded entrepreneur advertising enthusiast preston pennington preston witnessed rise social medium digital marketing avid observer participant decided make 1nteractivesolutionz industry leader every day leverage h	8
ford insurance insurance company located holland st b houston texas united state	0
sale automotive company based n western ave chicago illinois united state	6
telecommunication premier network engineering firm year extensive experience providing support telecommunication networking banking financial institution telecom carrier isp s cloud computing service provider data center noc tier 1234lce technical support problem determination customer support critical network telecommunication infrastructure device mission telecommunication delivers top notch service helping organization washington dc metro area greater new york city area south florida area reduce operational cost increase revenue improve profitability visibility staying within budget service engineering network design implementation network implementation operation network command center data center help desk network supporttroubleshooting network reengineering technical support technical support continuity business	5
hotfrog u provides information regarding choice funding choice funding provides financial service service contact 2370registered mortgage broker new york pennsylvania loan provided 3rd party lender	0
power system provides high quality engineering service area electrical power system analysis power distribution year experience industrial cogeneration utility power system renewable energy	2
since 4c electronics developed kind electronic product using various technology technique based stocktonontees north east england vast majority work past year designing developing electronics product customer check project page see	2
g oil energy company located w 110th st new york new york united state	3
security system located petersfield united kingdom company working locksmith security business activity	8
4wave provides plasma processing equipment thin film coating milling service meet challenging vacuum equipment thin film processing need using atomic layer processing capability 4wave also offer multilayer device fabrication miniature optical component based sterling virginia minute washington dulles airport 4wave serf client worldwide	2
cabinet refacing construction company based front st lisle illinois united state	9
a farr electrical helping hobart property owner business electrical work year team qualified electrician apprentice assist electrical matter fully staffed office assist enquiry	3
parent resource professional training company located po box mercer island washington united state	4
spence consulting service oil energy company located russell cir plano texas united state	3
capital electrical electronic manufacturing company located 5th ave new york new york united state	0
business service located romsey united kingdom company working audit accounting business activity	8
z located pattaya thailand company working clothing accessory business activity	1
z autoparts limited electrical electronic manufacturing company located colmore circus queensway birmingham united kingdom	2
g welding insurance company based lewis st worcester massachusetts united state	0
coring inc construction company located w front st hutto texas united state	9
auto automotive company located brighton michigan united state	6
offer broad range solution microsoft outlook window file beyond synchronization sharing tool microsoft outlook exchange server backup migration software microsoft outlook exchange server duplicate management software microsoft outlook importexport plugins ical vcard converter pst	5
floor galore construction company based macarthur blvd oakland california united state	9
kleen sweep environmental service company located elmwood ct hephzibah ga united state	3
a1 oil gas company subsidiary punjtan energy based houston texas usa heart world capital oil gas equipment capable supply type oilfield equipment octg pipe specialized incomplete land drilling rig swamp posted barge rig jack offshore drilling group company also capability extend financing drilling production contract gas pipeline oil refinery lng projectsthe following item carry could useful day day operation bop annular double ram single complete stack power swivel top drive ranging 150tons 750tons travelling blockhook spider elevator mud pump caterpillar engine rig power gen set fishing handling tool mud logging system spare part equipment full range control valve wellhead safety equipment pumping jack octg supply grade size drill pipe drill collar line pipe casing tubing kelly pup joint sucker rod etc	3
learning assisting providing positive solution alok product incorporated leader designing building construction seal flexible connector underground stormwater wastewater conveyance system capable providing watertight solution pipe diameter ranging plastic steel iron clay concrete pipe since everchanging demand underground sewer construction led alok develop offer wide range new product include flexible pipetomanhole connector application plastic insert seal manhole entry joint forming manhole inverts corrosion resistant lining lubricant sealant beginning new century provided alok opportunity create watertight storm water system contribute preserving environment improving country s infrastructure future generation support talented human reso	3
j contractor located felgrove street glendene auckland new zealand company working general business business activity	8
perfection located place de plancenoit 6a plancenoit belgium company working restaurant business activity visit company website information u http www2perfectionbe question please contact u	7
cellular internet company located racine ave chicago illinois united state	0
service offset printing desktop publishing full serve color copying print demand typesetting graphic	8
supply personable non pressured service specific requirement sourced order required c car established family run business supplying vehicle countrywide workshop croham road crowborough offer quality servicing make reasonable price along mot testing tyre diagnostics	6
let u design circuitry lay pcb writeoptimize microcontroller code otherwise help embedded electronics requirement circuit llc founded two south dakota school mine technology alumnus andrew electrical engineer ed computer scientist	2
production oil energy company based n raymond ave pasadena california united state	3
electric inc licensed electrical contracting company electric founded company commercial industrial installation always known service electric s goal always provide quality installation fair price management team average year electrical construction experience electric also service department handle service need pride professional personal service ability partner commercial industrial client project	9
dog australian fast food franchise located heart brisbane gold coast also coming city serving mouthwatering succulent hotdog vegan friendly sausage visit u get dog yah	7
19th gallery located bangkok thailand company working furniture business activity	1
gutter construction company located miller dr greensboro north carolina united state	9
graphic located lonsdale road barnes sw13 9qb united kingdom company working advertising business activity	8
great quality great service great price tool equipment supply need	3
component inc electrical electronic manufacturing company located hein dr garner north carolina united state	2
skip hire alternative load rubbish take away	3
supermarket located 168a168b sutcliffe avenue dn33 1ha grimsby north lincolnshire united kingdom company working food retailer food market business activity	7
always willing help var way hesitate contact u marketing idea marketing need best fulfill every time value added distributor s job provide var tool necessary facilitate daily business task following tool help	8
buy furniture homeware lighting decor south africa s first online furniture decor store enjoy worryfree shopping free delivery	1
c management group inc oil energy company based e boone ave ste spokane washington united state	3
b wholesale located whitegate inner prom fy8 1dw lytham st anne united kingdom company working catering catering supply business activity	7
arbor tree service construction company based farm market rd kalispell montana united state	9
j etheredge company insurance company located highway ste houston texas united state	0
understand frustrating cell phone smart phone computer ipod game system nt work way expect challenge anyone keep device fully protected countless threat surface every day 1800fixcom want share personalized solution everyone one device goal become valuable trusted partner effectively manage tech device making sure tech work work better buy take tradeins sell repair major type device cell phone smart phone iphones laptop netbooks desktop computer gamaing console portable gaming system digital music systemsmp3 player flat screen tv s etc commitment technology customer service significant investment technology allows customer place service request click well provide u valuable feedback hav	1
z electric co electrical electronic manufacturing company located weaver rd west milford nj united state	2
p orleans risk management help company develop implement successful risk management program business insurance employer sponsored group medical planswe particular concentration collaborating mid sized company believe type company many issue larger company financial resource human capital dedicate concern regarding risk insurance employee benefit proven method involves diagnostic risk assessment short long term goal dialogue development strategic plan meet goal implementation plan followed meeting throughout year result evaluated necessary modified	0
1imports automotive company based quesada ave san francisco california united state	6
quality redimix construction company located highway socorro new mexico united state	9
baisitai computer accessory co ltd important player onto chinese computer accessory market company founded specialized manufacture wide variety computer connecting cable usb cable vga cable hdmi cable lan cable company headed famous shenzhen special economic zone china covering area square meter employing peopleby virtue excellent product advanced technology constant innovation strong management company registered continuous business expansion term revenue geographical coveragethe company develops produce high quality wire cable certified international quality management system iso baisitai product engineered r center thoroughly tested conformity international standard	2
la heart catering food beverage company located benson ln fort bragg california united state	7
pawn shop paper forest product company based college ave ste elberton ga united state	1
lighter touch environmental service company located pearl st bethesda maryland united state	3
aacademics dedicated success student ever since opened business goal provide highest quality educational assistance affordable price proud say aacademics subsidiary aa tutor service hundred student age throughout san diego ar	4
founded computer scientist focused decision support software technology r today remain company software engineer computer scientist focus complex data integration decision ambiguity problem innovative software r part business mutually exclusive fact data integration decision support technology started concept developed talented r team create myriad new way solve different data integration decision ambiguity problem government commercial customer small business innovative research sbir award belt since testament r team s creative innovative prowess	5
